"MassParameter_1","MassParameter_2","MassParameter_3","MassParameter_4", "Phi_12","Phi_13","Phi_14","Phi_23","Phi_24","Phi_34", "Dataset1_7320370X","Dataset1_4640576X","Dataset1_2060465X","Dataset1_3140445X","Dataset1_6960209X","Dataset1_5670435X","Dataset1_4880367X","Dataset1_5050575X","Dataset1_290402X","Dataset1_650753X","Dataset1_110382X","Dataset1_3450274X","Dataset1_5960343X","Dataset1_4120037X","Dataset1_4050070X","Dataset1_6480059X","Dataset1_2000100X","Dataset1_3170669X","Dataset1_4830100X","Dataset1_6180538X","Dataset1_6980482X","Dataset1_4900670X","Dataset1_1780762X","Dataset1_1780564X","Dataset1_5270386X","Dataset1_7210424X","Dataset1_7050332X","Dataset1_6200431X","Dataset1_270156X","Dataset1_2470259X","Dataset1_630753X","Dataset1_3830519X","Dataset1_940747X","Dataset1_6840148X","Dataset1_1170609X","Dataset1_1770753X","Dataset1_6900209X","Dataset1_2340598X","Dataset1_3170286X","Dataset1_1470601X","Dataset1_4120053X","Dataset1_1260017X","Dataset1_3870646X","Dataset1_2120259X","Dataset1_2480739X","Dataset1_10612X","Dataset1_2490446X","Dataset1_6770711X","Dataset1_2060452X","Dataset1_50735X","Dataset1_2680722X","Dataset1_2320356X","Dataset1_6560438X","Dataset1_2710114X","Dataset1_870626X","Dataset1_2940369X","Dataset1_990072X","Dataset1_50070X","Dataset1_650008X","Dataset1_6940358X","Dataset1_4570441X","Dataset1_3610259X","Dataset1_4060221X","Dataset1_2260131X","Dataset1_1500148X","Dataset1_6220543X","Dataset1_4900010X","Dataset1_7550431X","Dataset1_2470619X","Dataset1_3390544X","Dataset1_2100241X","Dataset1_620241X","Dataset1_630377X","Dataset1_3180398X","Dataset1_2570026X","Dataset1_540021X","Dataset1_4640136X","Dataset1_6330047X","Dataset1_1710594X","Dataset1_270519X","Dataset1_1690059X","Dataset1_2850162X","Dataset1_130021X","Dataset1_2230273X","Dataset1_270348X","Dataset1_2070037X","Dataset1_6280156X","Dataset1_5390246X","Dataset1_1240450X","Dataset1_7160369X","Dataset1_5390239X","Dataset1_3940754X","Dataset1_1230201X","Dataset1_6400333X","Dataset1_1030376X","Dataset1_4890722X","Dataset1_4040725X","Dataset1_3440343X","Dataset1_6370014X","Dataset1_940356X","Dataset1_6110167X","Dataset1_4860408X","Dataset2_7320370X","Dataset2_4640576X","Dataset2_2060465X","Dataset2_3140445X","Dataset2_6960209X","Dataset2_5670435X","Dataset2_4880367X","Dataset2_5050575X","Dataset2_290402X","Dataset2_650753X","Dataset2_110382X","Dataset2_3450274X","Dataset2_5960343X","Dataset2_4120037X","Dataset2_4050070X","Dataset2_6480059X","Dataset2_2000100X","Dataset2_3170669X","Dataset2_4830100X","Dataset2_6180538X","Dataset2_6980482X","Dataset2_4900670X","Dataset2_1780762X","Dataset2_1780564X","Dataset2_5270386X","Dataset2_7210424X","Dataset2_7050332X","Dataset2_6200431X","Dataset2_270156X","Dataset2_2470259X","Dataset2_630753X","Dataset2_3830519X","Dataset2_940747X","Dataset2_6840148X","Dataset2_1170609X","Dataset2_1770753X","Dataset2_6900209X","Dataset2_2340598X","Dataset2_3170286X","Dataset2_1470601X","Dataset2_4120053X","Dataset2_1260017X","Dataset2_3870646X","Dataset2_2120259X","Dataset2_2480739X","Dataset2_10612X","Dataset2_2490446X","Dataset2_6770711X","Dataset2_2060452X","Dataset2_50735X","Dataset2_2680722X","Dataset2_2320356X","Dataset2_6560438X","Dataset2_2710114X","Dataset2_870626X","Dataset2_2940369X","Dataset2_990072X","Dataset2_50070X","Dataset2_650008X","Dataset2_6940358X","Dataset2_4570441X","Dataset2_3610259X","Dataset2_4060221X","Dataset2_2260131X","Dataset2_1500148X","Dataset2_6220543X","Dataset2_4900010X","Dataset2_7550431X","Dataset2_2470619X","Dataset2_3390544X","Dataset2_2100241X","Dataset2_620241X","Dataset2_630377X","Dataset2_3180398X","Dataset2_2570026X","Dataset2_540021X","Dataset2_4640136X","Dataset2_6330047X","Dataset2_1710594X","Dataset2_270519X","Dataset2_1690059X","Dataset2_2850162X","Dataset2_130021X","Dataset2_2230273X","Dataset2_270348X","Dataset2_2070037X","Dataset2_6280156X","Dataset2_5390246X","Dataset2_1240450X","Dataset2_7160369X","Dataset2_5390239X","Dataset2_3940754X","Dataset2_1230201X","Dataset2_6400333X","Dataset2_1030376X","Dataset2_4890722X","Dataset2_4040725X","Dataset2_3440343X","Dataset2_6370014X","Dataset2_940356X","Dataset2_6110167X","Dataset2_4860408X","Dataset3_7320370X","Dataset3_4640576X","Dataset3_2060465X","Dataset3_3140445X","Dataset3_6960209X","Dataset3_5670435X","Dataset3_4880367X","Dataset3_5050575X","Dataset3_290402X","Dataset3_650753X","Dataset3_110382X","Dataset3_3450274X","Dataset3_5960343X","Dataset3_4120037X","Dataset3_4050070X","Dataset3_6480059X","Dataset3_2000100X","Dataset3_3170669X","Dataset3_4830100X","Dataset3_6180538X","Dataset3_6980482X","Dataset3_4900670X","Dataset3_1780762X","Dataset3_1780564X","Dataset3_5270386X","Dataset3_7210424X","Dataset3_7050332X","Dataset3_6200431X","Dataset3_270156X","Dataset3_2470259X","Dataset3_630753X","Dataset3_3830519X","Dataset3_940747X","Dataset3_6840148X","Dataset3_1170609X","Dataset3_1770753X","Dataset3_6900209X","Dataset3_2340598X","Dataset3_3170286X","Dataset3_1470601X","Dataset3_4120053X","Dataset3_1260017X","Dataset3_3870646X","Dataset3_2120259X","Dataset3_2480739X","Dataset3_10612X","Dataset3_2490446X","Dataset3_6770711X","Dataset3_2060452X","Dataset3_50735X","Dataset3_2680722X","Dataset3_2320356X","Dataset3_6560438X","Dataset3_2710114X","Dataset3_870626X","Dataset3_2940369X","Dataset3_990072X","Dataset3_50070X","Dataset3_650008X","Dataset3_6940358X","Dataset3_4570441X","Dataset3_3610259X","Dataset3_4060221X","Dataset3_2260131X","Dataset3_1500148X","Dataset3_6220543X","Dataset3_4900010X","Dataset3_7550431X","Dataset3_2470619X","Dataset3_3390544X","Dataset3_2100241X","Dataset3_620241X","Dataset3_630377X","Dataset3_3180398X","Dataset3_2570026X","Dataset3_540021X","Dataset3_4640136X","Dataset3_6330047X","Dataset3_1710594X","Dataset3_270519X","Dataset3_1690059X","Dataset3_2850162X","Dataset3_130021X","Dataset3_2230273X","Dataset3_270348X","Dataset3_2070037X","Dataset3_6280156X","Dataset3_5390246X","Dataset3_1240450X","Dataset3_7160369X","Dataset3_5390239X","Dataset3_3940754X","Dataset3_1230201X","Dataset3_6400333X","Dataset3_1030376X","Dataset3_4890722X","Dataset3_4040725X","Dataset3_3440343X","Dataset3_6370014X","Dataset3_940356X","Dataset3_6110167X","Dataset3_4860408X","Dataset4_7320370X","Dataset4_4640576X","Dataset4_2060465X","Dataset4_3140445X","Dataset4_6960209X","Dataset4_5670435X","Dataset4_4880367X","Dataset4_5050575X","Dataset4_290402X","Dataset4_650753X","Dataset4_110382X","Dataset4_3450274X","Dataset4_5960343X","Dataset4_4120037X","Dataset4_4050070X","Dataset4_6480059X","Dataset4_2000100X","Dataset4_3170669X","Dataset4_4830100X","Dataset4_6180538X","Dataset4_6980482X","Dataset4_4900670X","Dataset4_1780762X","Dataset4_1780564X","Dataset4_5270386X","Dataset4_7210424X","Dataset4_7050332X","Dataset4_6200431X","Dataset4_270156X","Dataset4_2470259X","Dataset4_630753X","Dataset4_3830519X","Dataset4_940747X","Dataset4_6840148X","Dataset4_1170609X","Dataset4_1770753X","Dataset4_6900209X","Dataset4_2340598X","Dataset4_3170286X","Dataset4_1470601X","Dataset4_4120053X","Dataset4_1260017X","Dataset4_3870646X","Dataset4_2120259X","Dataset4_2480739X","Dataset4_10612X","Dataset4_2490446X","Dataset4_6770711X","Dataset4_2060452X","Dataset4_50735X","Dataset4_2680722X","Dataset4_2320356X","Dataset4_6560438X","Dataset4_2710114X","Dataset4_870626X","Dataset4_2940369X","Dataset4_990072X","Dataset4_50070X","Dataset4_650008X","Dataset4_6940358X","Dataset4_4570441X","Dataset4_3610259X","Dataset4_4060221X","Dataset4_2260131X","Dataset4_1500148X","Dataset4_6220543X","Dataset4_4900010X","Dataset4_7550431X","Dataset4_2470619X","Dataset4_3390544X","Dataset4_2100241X","Dataset4_620241X","Dataset4_630377X","Dataset4_3180398X","Dataset4_2570026X","Dataset4_540021X","Dataset4_4640136X","Dataset4_6330047X","Dataset4_1710594X","Dataset4_270519X","Dataset4_1690059X","Dataset4_2850162X","Dataset4_130021X","Dataset4_2230273X","Dataset4_270348X","Dataset4_2070037X","Dataset4_6280156X","Dataset4_5390246X","Dataset4_1240450X","Dataset4_7160369X","Dataset4_5390239X","Dataset4_3940754X","Dataset4_1230201X","Dataset4_6400333X","Dataset4_1030376X","Dataset4_4890722X","Dataset4_4040725X","Dataset4_3440343X","Dataset4_6370014X","Dataset4_940356X","Dataset4_6110167X","Dataset4_4860408X"
5.54561,1.80709,5.9152,0.952939, 1.64155,4.26429,2.24817,0.0665016,1.30947,0.161031, 12,12,20,4,20,2,32,32,4,12,20,12,32,2,4,32,4,4,20,20,32,20,4,4,20,4,20,20,20,32,4,2,12,32,20,4,20,4,20,4,32,12,32,12,2,32,4,2,2,32,2,2,12,20,12,2,4,37,4,20,32,32,12,4,32,32,4,4,20,20,4,12,20,2,20,12,12,4,20,4,11,11,50,50,50,11,11,50,11,50,11,11,50,11,11,50,50,50,11,11,50,11, 4,4,11,4,11,47,49,4,4,11,47,42,11,11,4,4,4,4,11,47,4,47,4,42,11,4,47,11,11,11,42,11,11,11,47,4,47,4,47,4,4,4,11,42,11,11,4,42,11,4,11,4,4,47,42,11,4,4,4,47,11,11,42,4,49,4,4,4,11,11,42,42,47,4,11,4,4,4,11,4,4,42,4,4,4,4,4,47,11,4,4,42,42,42,42,42,42,42,42,42,42,42, 2,2,2,34,2,2,33,36,2,34,2,34,5,33,6,33,33,33,2,2,33,2,6,34,2,34,2,2,2,33,34,2,11,5,2,6,2,36,2,36,33,6,2,34,2,5,34,33,2,33,33,33,34,2,11,2,11,34,34,2,33,33,34,5,33,33,36,33,2,2,11,34,2,33,2,34,34,6,5,6,11,11,33,11,11,2,11,2,2,33,11,33,6,33,36,33,11,11,11,11,11,11, 29,29,29,28,33,8,33,28,8,4,8,4,33,33,28,33,33,33,29,8,33,8,28,4,29,9,8,29,29,33,9,33,11,33,8,11,33,28,8,11,33,28,33,28,29,33,28,4,33,33,33,33,28,8,4,29,4,28,28,8,33,33,28,33,33,33,36,33,29,8,4,9,8,33,29,28,28,11,33,11,4,4,28,4,9,33,4,8,29,11,4,33,4,28,11,33,28,28,9,4,4,4
0.926507,2.98356,2.80257,4.23498, 0.165311,1.29223,3.17154,0.15231,9.77807,0.413137, 7,7,41,25,41,41,26,26,25,7,41,7,26,26,25,26,4,4,41,41,26,41,25,25,41,7,41,41,41,26,25,26,7,26,41,25,26,25,41,4,26,7,26,7,26,26,25,26,26,26,26,26,7,41,7,26,25,7,25,41,26,26,7,25,26,26,4,25,41,41,7,7,41,26,41,7,25,7,26,4,29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, 4,4,26,5,4,26,4,5,4,26,26,47,4,4,4,4,4,4,26,26,4,26,4,47,26,5,26,26,26,26,47,4,26,4,9,4,26,4,26,4,4,4,4,47,26,4,4,47,26,4,4,4,4,26,47,26,5,4,4,26,4,4,47,4,4,4,4,4,26,26,47,47,26,4,26,4,5,5,4,4,5,47,4,4,5,4,4,26,26,5,4,47,47,47,47,47,47,47,47,47,47,47, 40,40,40,15,40,40,4,4,40,15,40,26,40,40,34,6,4,4,40,40,4,40,34,26,40,26,40,40,40,40,26,40,13,40,40,34,40,34,40,34,4,34,40,34,40,40,47,4,40,4,4,4,47,40,13,40,13,34,34,40,4,6,26,40,4,4,4,4,40,40,13,47,40,4,40,26,15,34,40,34,13,13,4,13,13,40,13,40,40,4,13,4,34,4,34,40,13,13,13,13,13,13, 26,26,26,47,26,26,4,7,26,29,9,29,26,26,7,26,2,4,26,26,2,26,7,29,26,47,9,26,26,26,47,26,7,26,9,7,26,7,26,7,2,7,26,47,26,26,7,29,26,18,4,4,47,9,29,26,29,47,47,26,18,26,47,26,4,2,7,2,26,26,29,47,9,18,26,47,47,7,26,2,29,29,47,29,47,26,29,9,26,7,29,4,29,47,2,4,47,47,47,29,29,29
2.09364,2.2433,0.68096,2.00017, 0.349744,0.506432,7.63307,0.0430124,9.84902,2.09297, 37,37,1,25,20,20,16,16,25,37,1,37,20,20,25,20,25,25,1,1,16,1,25,25,1,37,1,1,1,20,25,20,37,20,1,25,20,25,1,25,20,25,20,37,20,16,25,20,20,20,20,20,25,1,37,20,25,37,25,1,20,16,37,25,16,16,16,25,1,1,25,37,1,20,1,37,25,25,20,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50, 48,48,1,48,9,1,9,48,48,9,1,5,9,9,48,48,48,9,1,1,48,1,48,5,34,48,1,11,1,9,5,9,9,9,1,48,1,48,1,48,48,48,9,5,9,9,48,5,11,9,9,9,48,1,5,9,48,48,48,1,9,9,5,48,9,48,48,48,34,34,5,5,1,9,9,48,48,48,9,48,48,5,48,48,48,48,48,1,34,48,48,5,5,15,5,5,5,5,5,5,5,5, 49,49,49,24,25,49,25,34,49,24,40,24,25,25,24,25,34,25,49,49,25,49,24,24,49,24,40,49,49,25,24,25,45,25,40,34,25,34,49,24,25,24,25,24,49,25,24,25,25,25,25,25,24,49,45,49,45,24,24,49,25,25,24,25,25,34,34,25,49,49,45,24,40,25,25,24,24,24,25,24,45,45,25,45,45,25,45,40,49,34,45,25,24,34,34,25,45,45,45,45,45,45, 38,9,12,18,9,12,9,25,12,5,12,5,9,9,18,9,25,9,12,12,9,12,25,5,9,49,12,9,38,9,18,9,25,9,12,25,9,25,12,25,9,25,9,18,9,9,25,5,9,9,9,9,25,12,11,9,5,18,18,12,9,9,18,9,9,25,25,9,9,12,5,49,12,9,9,18,18,25,9,25,11,5,18,5,18,9,5,12,12,25,5,9,11,18,25,9,18,18,18,5,5,5
3.73155,1.28579,4.82204,1.54695, 1.10862,0.14705,1.50775,0.429603,5.46387,9.70212, 48,48,24,40,24,24,8,8,48,48,5,48,24,24,40,24,8,8,24,5,8,5,40,48,24,48,5,24,24,8,48,24,48,24,5,40,24,40,24,8,24,48,8,48,24,8,40,24,24,24,24,24,48,5,48,24,40,48,40,5,8,8,48,48,8,8,8,40,24,24,48,48,5,24,24,48,48,48,24,8,6,47,47,47,6,47,47,6,20,6,6,47,6,44,6,6,6,20,20,6,47,6, 40,40,46,48,25,29,25,48,40,25,29,37,25,25,40,40,40,25,46,29,40,29,40,37,25,40,29,25,46,25,37,25,25,25,29,40,46,40,46,40,40,40,25,37,25,25,40,37,25,25,25,25,40,29,37,25,40,40,40,29,25,25,37,40,25,40,40,40,25,46,37,37,29,25,25,40,48,40,25,40,40,37,40,40,48,40,40,29,25,40,40,37,37,37,37,37,37,37,37,37,37,37, 17,17,29,26,17,29,17,30,29,26,29,26,17,17,30,17,30,17,29,29,8,29,30,30,29,26,29,17,29,17,26,17,23,17,29,30,17,30,29,30,17,30,17,30,17,17,30,17,17,17,17,17,30,29,23,17,23,30,30,29,17,17,30,17,17,8,30,8,29,29,23,26,29,17,17,30,26,30,17,30,23,23,8,23,23,17,23,29,29,8,23,17,30,30,30,17,23,23,23,23,23,23, 17,17,17,23,17,50,19,40,50,37,50,37,17,17,23,17,19,19,17,50,19,50,19,37,17,23,50,17,17,17,16,17,19,17,50,19,17,19,17,19,19,40,17,23,17,17,30,37,17,17,17,19,30,50,37,17,37,23,23,50,17,17,16,17,17,19,19,19,17,50,37,16,50,17,17,23,23,19,17,19,37,37,23,37,16,17,37,50,17,19,37,19,37,23,19,17,23,23,23,37,37,37
4.0846,0.341415,1.38964,3.31761, 0.165166,7.31727,1.52326,0.350894,0.462499,0.275673, 8,8,5,8,5,5,14,14,8,8,5,8,5,5,8,5,14,14,5,5,14,5,8,8,5,8,5,5,5,14,8,5,8,5,5,8,5,8,5,14,5,8,14,8,5,14,8,5,5,5,5,5,8,5,8,5,8,8,8,5,14,14,8,8,14,14,14,14,5,5,8,8,5,5,5,8,8,8,5,14,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27, 47,33,37,47,38,37,38,47,38,38,37,14,38,38,33,38,38,38,37,37,38,37,3,14,37,33,37,38,37,38,14,38,38,38,37,33,37,33,37,33,38,3,38,14,38,38,47,14,38,38,38,38,33,37,14,37,47,33,3,37,38,38,14,38,38,38,33,33,37,37,14,14,37,38,38,47,47,47,38,33,47,44,47,47,47,47,33,37,37,47,47,14,14,14,14,14,14,14,14,14,14,14, 14,14,14,49,14,14,22,4,14,49,14,49,14,14,4,14,22,22,14,14,22,14,4,49,14,49,14,14,14,14,49,14,27,14,14,4,14,4,14,4,22,4,14,4,14,14,8,14,14,14,14,22,4,14,27,14,27,4,4,14,14,14,4,14,14,22,4,22,14,14,27,49,14,22,14,49,49,4,14,4,27,27,22,27,27,14,27,14,14,4,27,22,4,22,4,14,27,27,27,27,27,27, 26,5,26,2,20,26,22,2,26,11,26,11,20,20,2,5,22,22,26,26,22,26,2,11,5,2,26,5,26,20,2,20,2,20,26,2,20,2,26,2,22,2,20,2,5,20,2,11,5,20,20,22,2,26,11,5,11,2,2,26,20,20,2,20,20,22,2,22,5,26,11,2,26,20,5,2,2,2,5,16,11,11,2,11,2,20,11,26,26,2,11,22,11,2,16,20,2,2,2,11,11,11
1.51608,0.912065,3.3043,1.8366, 2.31612,3.06743,0.0815721,0.231802,3.31347,1.02525, 10,10,28,11,28,28,47,47,21,10,28,10,28,28,25,28,47,11,28,28,30,28,21,10,28,10,28,28,28,28,25,28,10,28,28,25,28,21,28,25,28,40,27,10,28,47,21,28,28,28,28,28,10,28,10,28,21,10,21,28,28,47,10,40,47,47,47,25,28,28,10,10,28,28,28,40,10,10,28,25,26,26,26,26,26,26,26,26,26,26,26,26,36,26,26,36,26,36,26,26,26,26, 5,41,21,5,17,21,41,5,41,17,2,34,11,17,5,41,41,41,21,21,41,21,41,34,17,5,21,11,21,17,34,11,11,17,2,41,21,41,21,41,41,3,17,34,17,11,5,34,11,41,17,41,5,21,34,17,5,5,41,21,11,11,34,41,41,41,41,41,17,21,34,34,21,41,17,5,5,5,17,41,5,34,5,5,5,5,41,21,17,5,5,34,34,34,34,34,34,34,34,34,34,34, 22,22,22,37,22,22,28,24,22,37,22,37,11,11,24,11,24,24,22,22,24,22,24,24,22,24,22,22,22,28,24,22,20,11,22,24,22,24,22,24,16,24,22,24,22,28,37,28,22,28,28,24,24,22,20,22,48,24,24,22,28,11,37,22,28,24,24,24,22,22,20,37,22,24,11,24,37,24,28,24,20,20,24,20,20,22,20,22,22,24,20,16,24,24,24,28,20,20,20,48,20,20, 36,11,36,5,11,36,11,5,36,48,36,48,11,11,5,11,35,35,36,36,35,36,5,48,36,5,36,36,36,11,5,11,5,11,36,5,11,5,36,5,35,5,11,5,11,11,5,48,11,11,11,11,5,36,48,11,48,5,5,36,11,11,5,11,11,5,5,35,36,36,48,5,36,11,11,5,5,5,11,5,18,48,5,48,5,11,48,36,36,5,48,11,48,5,5,11,5,5,5,48,48,48
1.89185,1.32555,1.05679,1.87915, 0.018261,0.105934,0.151283,0.230758,0.106964,0.329002, 23,23,49,23,49,49,25,25,23,23,49,23,49,49,23,49,25,25,49,49,49,49,23,23,49,23,49,49,49,49,23,49,23,49,49,23,49,23,49,25,49,23,49,23,49,49,23,49,49,49,49,49,23,49,23,49,23,23,23,49,49,25,23,23,25,25,25,23,49,49,23,23,49,49,49,23,23,23,49,25,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11, 8,8,18,8,11,18,11,8,8,11,18,29,11,11,8,8,8,11,18,18,8,18,8,29,18,8,18,18,18,11,29,11,18,11,18,8,18,8,18,8,8,8,11,17,11,11,8,17,18,11,11,11,8,18,29,18,8,8,8,18,11,11,29,8,11,8,8,8,18,18,29,29,18,8,11,8,8,8,11,8,8,29,8,8,8,8,8,18,18,8,8,29,29,29,29,29,29,29,29,29,29,29, 34,34,34,17,34,34,47,17,34,17,34,17,34,34,17,34,17,47,34,34,17,34,17,17,34,17,34,34,34,34,17,34,37,34,34,17,34,17,34,17,47,17,34,17,34,34,17,34,34,34,34,47,17,34,37,34,37,17,17,34,34,34,17,34,47,17,17,47,34,34,37,17,34,47,34,17,17,17,34,17,37,37,17,37,37,34,37,34,34,17,37,47,17,17,17,34,37,37,37,37,37,37, 35,35,35,42,35,19,30,40,19,11,19,11,26,26,42,26,30,40,19,19,30,19,40,11,35,9,19,35,35,26,9,35,40,26,19,40,30,40,19,40,40,40,26,9,35,26,42,11,35,26,30,30,42,19,11,35,11,9,42,19,26,26,9,35,26,40,40,40,35,19,11,9,19,26,35,9,9,40,35,40,11,11,9,11,9,26,11,19,19,40,11,30,11,9,40,30,42,42,9,11,11,11
0.435017,3.29037,3.51076,4.1149, 3.01784,2.67252,0.0440571,7.07255,0.0258155,0.0383625, 44,44,41,44,41,10,25,25,44,44,41,44,10,10,44,10,25,33,41,41,25,41,44,44,41,44,41,41,41,25,44,41,44,10,41,44,41,44,41,25,10,44,10,44,41,25,44,41,41,10,10,10,44,41,44,41,44,44,44,41,10,25,44,44,25,25,25,44,41,41,44,44,41,10,41,44,44,44,41,25,23,39,39,23,23,23,23,23,39,23,23,23,39,23,23,39,23,23,23,39,39,39, 23,23,28,23,39,28,23,23,23,39,28,6,39,23,23,23,23,23,28,28,23,28,23,6,39,23,28,39,28,39,6,39,39,39,3,23,28,23,28,23,23,23,23,6,39,39,23,6,39,23,23,23,23,28,6,39,23,23,23,28,39,23,46,23,23,23,23,23,39,28,6,6,28,23,39,23,23,23,23,23,23,6,23,23,23,23,23,28,39,23,23,6,6,46,6,46,30,6,6,6,6,6, 10,10,10,6,10,10,10,23,10,6,15,6,10,10,23,10,23,4,10,15,4,15,23,6,10,6,15,10,10,10,6,10,36,10,15,23,10,23,10,23,10,23,10,23,10,10,23,10,10,10,10,4,23,15,42,10,38,23,23,15,10,10,23,10,10,4,23,4,10,15,42,6,15,10,10,6,6,23,10,23,42,42,23,42,42,10,36,15,10,23,36,10,23,23,23,10,42,36,36,42,38,36, 2,2,2,12,5,2,5,12,2,44,29,44,5,5,12,5,12,5,2,2,5,2,12,44,2,12,2,2,2,5,12,5,12,5,29,12,5,12,2,12,5,12,5,12,2,5,12,44,5,5,5,5,12,2,44,5,44,12,12,2,5,5,12,5,5,12,12,5,2,2,44,12,2,5,2,12,12,12,5,12,44,44,12,44,12,5,44,2,2,12,44,5,44,12,12,5,12,12,12,44,44,44
1.7556,1.14003,0.982412,0.752877, 0.455349,0.346954,0.102926,6.09935,1.40604,3.12148, 13,13,8,13,8,8,15,15,13,13,14,13,15,15,13,15,29,29,8,19,15,19,13,13,8,13,19,8,8,15,13,8,13,15,14,13,8,13,8,13,15,13,15,13,8,15,13,8,8,15,8,15,13,8,13,15,13,13,13,8,15,15,13,13,15,15,15,13,8,8,13,13,14,15,8,13,13,13,22,13,42,44,42,42,42,42,44,42,42,42,42,42,42,42,42,42,42,42,44,44,42,42, 23,32,24,23,24,10,32,47,32,24,10,27,24,32,32,32,32,32,24,10,32,10,32,27,24,23,10,24,24,24,27,32,24,32,10,32,10,32,10,32,32,32,32,27,24,32,23,27,24,32,32,32,23,10,27,24,23,32,32,10,32,32,27,32,32,32,32,32,24,24,27,27,10,32,24,23,23,23,32,32,23,27,23,23,47,23,32,10,24,23,23,27,27,27,27,27,27,27,27,27,27,27, 5,5,5,35,24,5,36,36,5,35,5,35,24,24,21,24,36,36,5,5,36,5,21,35,5,35,5,5,5,24,35,24,32,24,5,21,24,21,5,21,36,21,24,21,5,24,35,24,24,24,36,36,21,5,32,24,32,21,21,5,24,24,35,24,36,36,21,36,5,5,32,35,5,36,24,35,35,21,24,21,32,32,36,32,32,5,32,5,5,36,32,36,21,21,21,24,32,32,32,32,32,32, 28,9,9,21,9,28,36,21,28,4,28,4,9,9,21,9,21,36,28,28,36,28,21,4,9,21,28,9,28,9,21,9,21,9,10,21,9,21,28,21,36,21,9,21,9,9,21,4,9,36,36,36,21,28,4,9,4,21,21,28,9,9,21,9,36,21,21,36,9,28,4,21,28,36,9,21,21,21,9,21,4,4,21,4,21,9,4,28,28,21,4,36,4,21,21,36,21,21,21,4,4,4
3.21837,0.649636,4.35023,4.30279, 0.082075,0.0804782,0.24204,0.103226,2.19708,0.115986, 40,40,30,40,30,5,49,49,40,40,30,40,5,5,40,5,49,49,30,30,49,30,40,40,30,40,30,30,30,49,40,5,40,5,30,40,30,40,30,40,5,40,49,40,5,49,40,5,5,5,49,5,40,30,40,5,40,40,40,30,49,5,40,40,49,49,49,40,30,30,40,40,30,5,30,40,40,40,5,49,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, 8,8,3,8,22,3,22,8,8,3,3,15,3,22,8,8,8,8,3,3,8,3,8,15,3,8,3,3,3,3,15,22,3,22,2,8,3,8,3,8,8,8,22,15,3,22,8,15,3,8,22,8,8,3,15,3,8,8,8,3,22,22,15,8,22,8,8,8,3,3,15,15,3,8,3,8,8,8,22,8,8,15,8,8,8,8,8,3,3,8,8,15,15,15,15,15,15,15,15,15,15,15, 24,24,24,8,24,24,5,5,24,8,48,8,24,24,5,24,5,5,24,24,5,24,5,8,24,8,48,24,24,24,8,24,27,24,48,5,24,5,24,5,5,5,24,8,24,24,8,24,24,24,24,5,8,24,27,24,27,8,8,24,24,24,8,24,5,5,5,5,24,24,27,8,24,5,24,8,8,5,24,5,27,27,5,27,27,24,27,48,24,5,27,5,5,5,5,24,27,27,27,27,27,27, 37,37,37,31,15,37,15,44,37,49,3,49,15,15,44,15,8,15,37,37,15,37,44,49,37,31,37,37,37,15,31,15,44,15,3,44,15,8,37,8,15,8,15,44,37,15,44,49,15,15,15,15,44,37,49,15,49,31,44,37,15,15,31,15,15,8,44,15,37,37,49,31,37,15,37,31,31,8,15,44,49,49,44,49,31,15,49,37,37,8,49,15,49,31,44,15,44,31,31,49,49,49
